player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Achref Abada,Algeria,Algeria,DF,27-013,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adil Boulbina,Algeria,Algeria,FW,23-057,2003,,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,10.0,5.6,,0,1,10.0,1,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Amine Gouiri,Algeria,Algeria,FW,26-132,2000,Marseille,2,2,148.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.61,0.0,0.61,0.61,0.61,3.0,2.0,66.7,1.82,1.22,0.33,0.5,74.0,82.2,74.0,0,0,,0,1.5,2.0,3.0,-1.0,-0.61,2.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Anis Hadj Moussa,Algeria,Algeria,MF,24-137,2002,Feyenoord,2,1,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.31,0.0,0.0,,39.0,43.3,63.0,0,1,15.0,0,1.5,1.0,2.0,-1.0,-1.15,-0.27,0.0,0.0,1.0,0.0,4.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Aïssa Mandi,Algeria,Algeria,DF,34-249,1991,Lille,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,1.5,2.0,4.0,-2.0,-1.0,,0.0,0.0,4.0,0.0,0.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Fares Chaïbi,Algeria,Algeria,MF,23-212,2002,Frankfurt,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,20.0,2.5,0.5,0.0,0.0,90.0,100.0,90.0,2,0,,0,1.5,2.0,4.0,-2.0,-1.0,,0.0,1.0,1.0,1.0,5.0,2.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Farés Ghedjemis,Algeria,Algeria,"FW,MF",23-295,2002,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hicham Boudaoui,Algeria,Algeria,MF,26-278,1999,Nice,2,2,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,54.0,60.0,54.0,0,0,,0,1.5,0.0,3.0,-3.0,-2.5,-3.75,0.0,2.0,0.0,0.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Houssem Aouar,Algeria,Algeria,MF,27-363,1998,Al-Ittihad,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.33,0.0,0.0,,27.0,15.0,,0,1,27.0,1,0.0,0.0,1.0,-1.0,-3.33,-2.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ibrahim Maza,Algeria,Algeria,MF,20-216,2005,Leverkusen,2,2,171.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,40.0,2.63,1.05,0.0,0.0,86.0,95.0,86.0,1,0,,0,1.5,2.0,4.0,-2.0,-1.05,-1.05,0.0,0.0,3.0,0.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
